Date,Open,High,Low,Close,Volume,Change,5MA,5Disparity,20MA,20Disparity,60MA,60Disparity,120MA,120Disparity,label
2021-07-15,33000,33350,32850,33000,1080294,0.0015174506828528,32730.0,1.008249312557287,32300.0,1.021671826625387,31780.833333333332,1.0383616959907702,29105.833333333332,1.1337933403956826,0.4
2021-07-16,32950,33200,32800,33050,636895,0.0015151515151514,32910.0,1.0042540261318749,32317.5,1.0226657383770403,31851.666666666668,1.0376223117576264,29183.75,1.132479547693494,0.4
2021-07-19,32950,33550,32800,33350,1012787,0.0090771558245084,33090.0,1.007857358718646,32397.5,1.029400416698819,31921.666666666668,1.0447449485720253,29255.416666666668,1.1399598364975148,0.4
2021-07-20,33150,33950,33050,33600,1458978,0.0074962518740628,33190.0,1.0123531184091594,32452.5,1.035359371388953,31990.833333333332,1.0503008674359844,29334.166666666668,1.1454220050566746,0.0
2021-07-21,33650,34350,33400,34150,1870235,0.0163690476190476,33430.0,1.0215375411307208,32540.0,1.0494775660725262,32070.0,1.064858122856252,29418.333333333332,1.1608407455668237,-0.328125
2021-07-22,34250,35000,34200,34900,2016300,0.0219619326500732,33810.0,1.0322389825495415,32672.5,1.0681766011171474,32160.833333333332,1.0851708859119529,29511.666666666668,1.1825831592025753,0.3902439024390244
2021-07-23,35100,35200,34300,34700,1561907,-0.0057306590257879,34140.0,1.0164030462800235,32785.0,1.058410858624371,32260.0,1.0756354618722876,29601.25,1.1722477935897977,0.4
2021-07-26,34550,34650,33600,33600,1467878,-0.031700288184438,34190.0,0.9827434922491955,32862.5,1.0224419931532902,32337.5,1.039041360649401,29680.833333333332,1.1320436870033972,0.14285714285714285
2021-07-27,33800,33950,33100,33250,1002289,-0.0104166666666666,34120.0,0.9745017584994138,32930.0,1.0097175827512903,32419.166666666668,1.0256278436110324,29755.833333333332,1.117427955302882,0.6082474226804123
2021-07-28,33100,34150,33100,33800,1119654,0.0165413533834586,34050.0,0.9926578560939796,33030.0,1.023312140478353,32508.333333333332,1.039733401691874,29835.0,1.132897603485839,0.46153846153846156
2021-07-29,33850,34150,33700,33800,763945,0.0,33830.0,0.9991132131244458,33140.0,1.019915509957755,32586.666666666668,1.0372340425531914,29916.25,1.1298207495926127,0.171875
2021-07-30,33700,34100,33450,33800,1210017,0.0,33650.0,1.0044576523031203,33240.0,1.016847172081829,32661.666666666668,1.0348522733071388,29997.5,1.1267605633802815,0.41237113402061853
2021-08-02,33800,34150,33600,33950,736305,0.0044378698224851,33720.0,1.006820877817319,33350.0,1.0179910044977512,32738.333333333332,1.0370106399226189,30080.0,1.128656914893617,0.0
2021-08-03,33800,33900,33450,33550,877953,-0.011782032400589,33780.0,0.9931912374185908,33407.5,1.0042655092419366,32806.666666666664,1.0226579963422069,30158.75,1.1124466365482657,0.0
2021-08-04,33500,33650,33050,33500,847795,-0.0014903129657227,33720.0,0.9934756820877816,33457.5,1.001270268250766,32856.666666666664,1.0195799939129553,30236.25,1.1079416263590889,0.0
2021-08-05,33350,33650,33250,33400,564767,-0.0029850746268657,33640.0,0.9928656361474436,33502.5,0.9969405268263564,32890.833333333336,1.0154805036864374,30308.75,1.1019919990101867,0.0
2021-08-06,33400,33650,33350,33500,488110,0.0029940119760478,33580.0,0.9976176295413935,33570.0,0.9979148048853144,32923.333333333336,1.017515439910904,30366.666666666668,1.1031833150384194,0.0
2021-08-09,33250,33700,33200,33650,928239,0.0044776119402984,33520.0,1.0038782816229117,33630.0,1.00059470710675,32967.5,1.020702206718738,30425.0,1.105998356614626,0.0
2021-08-10,33650,33700,33150,33400,787255,-0.0074294205052005,33490.0,0.9973126306360108,33645.0,0.9927180858968644,33003.333333333336,1.012018987981012,30482.5,1.0957106536537358,0.0
2021-08-11,33750,35050,33700,34850,2431998,0.0434131736526945,33760.0,1.03228672985782,33740.0,1.0328986366330766,33045.833333333336,1.0545958895473455,30550.833333333332,1.1407217479064946,0.0
2021-08-12,34800,35200,34200,34200,1537610,-0.0186513629842181,33920.0,1.008254716981132,33800.0,1.0118343195266273,33080.833333333336,1.0338312718845253,30619.166666666668,1.1169474457719837,0.0
2021-08-13,34350,34600,33700,34150,1087755,-0.0014619883040936,34050.0,1.0029368575624082,33855.0,1.0087136316644514,33131.666666666664,1.030735952512702,30684.583333333332,1.1129367353312605,0.0
2021-08-17,34150,34250,33650,33650,1218380,-0.014641288433382,34050.0,0.9882525697503672,33870.0,0.9935045763212282,33149.166666666664,1.0151084743206216,30750.0,1.0943089430894308,0.0
2021-08-18,33700,34500,33500,34300,1322869,0.0193164933135214,34230.0,1.0020449897750512,33905.0,1.0116501990856803,33174.166666666664,1.0339370494109372,30817.5,1.1130039750141965,0.0
2021-08-19,34050,34100,33200,33200,1500660,-0.032069970845481,33900.0,0.9793510324483776,33857.5,0.9805803736247508,33172.5,1.0008289999246365,30877.5,1.0752165816533077,0.0
2021-08-20,33250,33400,31750,31950,1929384,-0.0376506024096385,33450.0,0.9551569506726456,33710.0,0.9477899733016908,33144.166666666664,0.9639705327734897,30926.25,1.0331029465260095,0.0
2021-08-23,32300,32800,31950,32500,1119256,0.0172143974960876,33120.0,0.981280193236715,33600.0,0.9672619047619048,33122.5,0.981206128764435,30976.666666666668,1.0491767997417412,0.34285714285714286
2021-08-24,32800,33100,32550,32600,1008205,0.0030769230769229,32910.0,0.9905803707079917,33550.0,0.9716840536512668,33095.833333333336,0.9850182550673549,31029.166666666668,1.0506244125151067,0.47761194029850745
2021-08-25,32650,33100,32600,32800,555321,0.0061349693251533,32610.0,1.0058264336093223,33527.5,0.9783013943777495,33074.166666666664,0.9917105495225378,31085.833333333332,1.0551430179878294,0.2459016393442623
2021-08-26,32800,33000,32600,32750,667915,-0.0015243902439023,32520.0,1.007072570725707,33475.0,0.9783420463032112,33059.166666666664,0.9906480804617984,31141.25,1.0516597760205515,0.23622047244094488
2021-08-27,32500,32750,32250,32400,757653,-0.0106870229007633,32610.0,0.9935602575896963,33405.0,0.969914683430624,33037.5,0.9807037457434732,31189.583333333332,1.038808362834814,0.296875
2021-08-30,32550,32800,32400,32450,609770,0.0015432098765431,32600.0,0.995398773006135,33337.5,0.9733783277090364,33025.0,0.9825889477668432,31239.166666666668,1.0387601035025475,0.009523809523809525
2021-08-31,32600,33100,32450,32800,1079621,0.0107858243451464,32640.0,1.0049019607843137,33280.0,0.9855769230769232,33018.333333333336,0.9933875119882892,31289.166666666668,1.0482861480278052,0.5739130434782609
2021-09-01,32650,33600,32650,33450,990900,0.0198170731707316,32770.0,1.020750686603601,33275.0,1.005259203606311,33016.666666666664,1.0131246845027764,31342.916666666668,1.0672267790436436,-0.0851063829787234
2021-09-02,33400,33600,32900,32950,735338,-0.014947683109118,32810.0,1.0042669917708016,33247.5,0.9910519587938944,33010.0,0.9981823689790972,31392.083333333332,1.049627692756932,-0.0851063829787234
2021-09-03,33000,33350,32900,32900,536696,-0.0015174506828528,32910.0,0.9996961409905804,33222.5,0.9902927233049892,33009.166666666664,0.9966928378480726,31440.0,1.0464376590330788,-0.0851063829787234
2021-09-06,32900,32900,32500,32600,615251,-0.0091185410334346,32940.0,0.9896782027929568,33177.5,0.9825936251977996,33001.666666666664,0.9878288975304278,31487.5,1.035331480746328,-0.0851063829787234
2021-09-07,32500,32800,32400,32650,561847,0.0015337423312884,32910.0,0.9920996657550896,33127.5,0.9855859935099238,33000.833333333336,0.9893689553294108,31535.0,1.035357539242112,-0.0851063829787234
2021-09-08,32650,32850,32600,32650,595725,0.0,32750.0,0.9969465648854962,33090.0,0.9867029313992144,32999.166666666664,0.9894189247203212,31585.833333333332,1.0336912645437035,-0.0851063829787234
2021-09-09,32700,33500,32600,32600,1164930,-0.001531393568147,32680.0,0.9975520195838432,32977.5,0.9885528011523008,33003.333333333336,0.9877790122209876,31636.666666666668,1.0304498999051732,-0.0851063829787234
2021-09-10,32800,33150,32650,32750,618730,0.0046012269938651,32650.0,1.003062787136294,32905.0,0.9952894696854582,33001.666666666664,0.9923741225190648,31687.083333333332,1.0335441623164012,-0.0851063829787234
2021-09-13,32650,32850,32500,32750,412143,0.0,32680.0,1.0021419828641371,32835.0,0.9974112989188366,33002.5,0.9923490644648132,31729.166666666668,1.0321733420879842,-0.0851063829787234
