Date,Open,High,Low,Close,Volume,Change,5MA,5Disparity,20MA,20Disparity,60MA,60Disparity,120MA,120Disparity,label
2021-06-01,265000,272000,265000,268500,154636,0.0132075471698114,265300.0,1.0120618168111573,271550.0,0.988768182655128,272850.0,0.9840571742715778,277604.1666666667,0.9672045028142588,-1.0
2021-06-02,268500,271500,266500,270500,146791,0.0074487895716945,266000.0,1.0169172932330828,271375.0,0.99677567941041,273108.3333333333,0.9904494553443384,277862.5,0.9735030815601242,-1.0
2021-06-03,270000,274500,270000,272000,192929,0.0055452865064695,268300.0,1.013790532985464,271025.0,1.0035974541093995,273483.3333333333,0.9945761472362727,278141.6666666667,0.9779189262066692,-1.0
2021-06-04,270000,273500,268000,270000,160789,-0.0073529411764705,269200.0,1.0029717682020802,270500.0,0.99815157116451,273916.6666666667,0.985701247337998,278362.5,0.9699582379092012,-1.0
2021-06-07,272500,272500,268500,271000,123611,0.0037037037037037,270400.0,1.0022189349112427,269925.0,1.003982587755858,274258.3333333333,0.9881194737321868,278575.0,0.9728080409225522,-1.0
2021-06-08,270000,271500,269000,269500,123730,-0.0055350553505535,270600.0,0.9959349593495936,268925.0,1.0021381426048157,274458.3333333333,0.9819341126461212,278795.8333333333,0.9666572013570266,-1.0
2021-06-09,270500,272500,269000,269000,129583,-0.0018552875695733,270300.0,0.9951905290418054,268325.0,1.002515606074723,274758.3333333333,0.979042188589973,278929.1666666667,0.964402551424346,-1.0
2021-06-10,272000,286500,269000,281500,689263,0.0464684014869889,272200.0,1.0341660543717854,268800.0,1.0472470238095235,275316.6666666667,1.0224589866214662,279200.0,1.0082378223495705,-1.0
2021-06-11,286000,290000,281500,286500,363787,0.0177619893428064,275500.0,1.0399274047186933,269925.0,1.0614059460961378,276008.3333333333,1.0380121373146949,279550.0,1.024861384367734,-1.0
2021-06-14,288500,292000,285000,287500,219730,0.0034904013961605,278800.0,1.0312051649928264,270800.0,1.061669128508124,276683.3333333333,1.0390940304800915,279937.5,1.0270149586961377,-1.0
2021-06-15,289500,289500,285000,287000,152424,-0.0017391304347825,282300.0,1.016648955012398,271725.0,1.0562149231760052,277291.6666666667,1.0350112697220135,280312.5,1.0238573021181716,-1.0
2021-06-16,286000,288000,284000,285500,119449,-0.0052264808362368,285600.0,0.9996498599439776,272525.0,1.047610310980644,277950.0,1.0271631588415182,280662.5,1.017236004097448,-1.0
2021-06-17,283000,289000,281500,285000,165574,-0.0017513134851138,286300.0,0.9954593084177435,273275.0,1.0429054981245998,278658.3333333333,1.0227578575914351,281033.3333333333,1.014114577155735,-1.0
2021-06-18,284000,286000,279500,282000,223815,-0.0105263157894737,285400.0,0.9880868955851436,273900.0,1.0295728368017525,279291.6666666667,1.0096971505296135,281420.8333333333,1.002058009209221,-1.0
2021-06-21,278000,280000,274500,275000,191166,-0.0248226950354609,282900.0,0.9720749381406858,274400.0,1.0021865889212829,279608.3333333333,0.9835186123446488,281716.6666666667,0.9761580784476128,-1.0
2021-06-22,277000,279500,275500,275500,113251,0.0018181818181817,280600.0,0.981824661439772,274700.0,1.0029122679286495,279608.3333333333,0.9853068280034571,281995.8333333333,0.976964789668878,-1.0
2021-06-23,279500,287000,277000,285500,309851,0.0362976406533575,280600.0,1.0174625801853172,275625.0,1.035827664399093,279891.6666666667,1.0200375145145442,282375.0,1.0110668437361665,-1.0
2021-06-24,287000,291500,284500,287500,246436,0.0070052539404552,281100.0,1.0227676983279972,276975.0,1.0379998194782922,280000.0,1.0267857142857142,282808.3333333333,1.0165895630138198,-1.0
2021-06-25,289000,293000,286000,290000,238105,0.0086956521739129,282700.0,1.0258224266006368,278200.0,1.0424155283968368,280133.3333333333,1.0352213231794385,283220.8333333333,1.0239359745781411,-1.0
2021-06-28,289500,290000,286000,286500,112784,-0.0120689655172413,285000.0,1.0052631578947369,279275.0,1.0258705576940292,280141.6666666667,1.0226968498081328,283529.1666666667,1.010478051934692,0.6060606060606061
2021-06-29,285000,286000,281500,281500,136759,-0.0174520069808028,286200.0,0.9835779175401816,279925.0,1.005626507100116,280091.6666666667,1.005028115795424,283779.1666666667,0.991968520122748,0.39603960396039606
2021-06-30,280000,285000,280000,282500,114943,0.0035523978685612,285600.0,0.9891456582633054,280525.0,1.0070403707334463,280141.6666666667,1.0084183597584555,283858.3333333333,0.995214749141297,0.4909090909090909
